	INPUT:title	INPUT:coupon	INPUT:screenshot	INPUT:assignment_id	INPUT:coupon_available	INPUT:path	OUTPUT:result	OUTPUT:assignment_id	GOLDEN:result	GOLDEN:assignment_id	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
0	$15 OFF ORDER OF $100 OR MORE	MAJOR15	https://yang.s3.yandex.net/assignment_0001f48c86--624e21b0f6952438bd91adcd/microsoft.3364d368-f4de-4e2b-9d56-c3324f3cfb25.jpg	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes	https://www.globalgolf.com	Yes	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff33c7755165916a409e5	0001f4d961--624ff33c7755165916a409e5	e73bedd2775a795bd89c7ebc37ddbb69	APPROVED	2022-04-08T08:33:00.476
1	$15 OFF ORDER OF $100 OR MORE	MAJOR15	https://yang.s3.yandex.net/assignment_0001f48c86--624e21b0f6952438bd91adcd/microsoft.3364d368-f4de-4e2b-9d56-c3324f3cfb25.jpg	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes	https://www.globalgolf.com	Yes	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff36331bfa02892327acf	0001f4d961--624ff36331bfa02892327acf	5036447ad3003d913ae4072b4f455f99	APPROVED	2022-04-08T08:33:39.440
2	$15 OFF ORDER OF $100 OR MORE	MAJOR15	https://yang.s3.yandex.net/assignment_0001f48c86--624e21b0f6952438bd91adcd/microsoft.3364d368-f4de-4e2b-9d56-c3324f3cfb25.jpg	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes	https://www.globalgolf.com	Yes	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff40a8cd2e65db9a5d4da	0001f4d961--624ff40a8cd2e65db9a5d4da	ef6b686b332d5b2b1c442ed6fef9dd55	APPROVED	2022-04-08T08:36:26.396
3	$15 OFF ORDER OF $100 OR MORE	MAJOR15	https://yang.s3.yandex.net/assignment_0001f48c86--624e21b0f6952438bd91adcd/microsoft.3364d368-f4de-4e2b-9d56-c3324f3cfb25.jpg	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes	https://www.globalgolf.com	Yes	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff3f9c4eebf237e6f4665	0001f4d961--624ff3f9c4eebf237e6f4665	240f2139678ae981be5af88a654a6cc2	APPROVED	2022-04-08T08:36:09.681
4	$15 OFF ORDER OF $100 OR MORE	MAJOR15	https://yang.s3.yandex.net/assignment_0001f48c86--624e21b0f6952438bd91adcd/microsoft.3364d368-f4de-4e2b-9d56-c3324f3cfb25.jpg	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes	https://www.globalgolf.com	Yes	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff441b78d4361c3e1be2b	0001f4d961--624ff441b78d4361c3e1be2b	b43c4e574acb4f57e6692cf3f9d3202c	APPROVED	2022-04-08T08:37:21.673
5	$15 OFF ORDER OF $100 OR MORE	MAJOR15	https://yang.s3.yandex.net/assignment_0001f48c86--624e21b0f6952438bd91adcd/microsoft.3364d368-f4de-4e2b-9d56-c3324f3cfb25.jpg	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes	https://www.globalgolf.com	Yes	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff43c19078751fd561554	0001f4d961--624ff43c19078751fd561554	b7cfbae0fb246b6dd7c1fe96aab9834d	APPROVED	2022-04-08T08:37:16.865
6	$15 OFF ORDER OF $100 OR MORE	MAJOR15	https://yang.s3.yandex.net/assignment_0001f48c86--624e21b0f6952438bd91adcd/microsoft.3364d368-f4de-4e2b-9d56-c3324f3cfb25.jpg	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes	https://www.globalgolf.com	Yes	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff4544374727ed1ed4207	0001f4d961--624ff4544374727ed1ed4207	aaece8b3edbb9d5d20bda4b845a5b605	APPROVED	2022-04-08T08:37:40.399
7	$25 OFF ORDER OF $100 OR MORE	MAJOR25	https://yang.s3.yandex.net/assignment_0001f48c86--624e21b0f6952438bd91adcd/microsoft.3364d368-f4de-4e2b-9d56-c3324f3cfb25.jpg	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes	https://www.globalgolf.com	Yes	"""0001f48c86--624e21b0f6952438bd91adcd"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff4a5fa146b2619c9fc3e	0001f4d961--624ff4a5fa146b2619c9fc3e	9c7e859eb27c50cf93021e189fd608f3	APPROVED	2022-04-08T08:39:01.536
8			https://yang.s3.yandex.net/assignment_0001f48c86--624e241bd4c85d389701837e/microsoft.b9bdaaff-cef5-4dcf-be08-88844bb80b85.png	"""0001f48c86--624e241bd4c85d389701837e"""	No	https://www.pureromance.com	Yes	"""0001f48c86--624e241bd4c85d389701837e"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff33c7755165916a409e5	0001f4d961--624ff33c7755165916a409e5	e73bedd2775a795bd89c7ebc37ddbb69	APPROVED	2022-04-08T08:33:00.476
9			https://yang.s3.yandex.net/assignment_0001f48c86--624e241bd4c85d389701837e/microsoft.b9bdaaff-cef5-4dcf-be08-88844bb80b85.png	"""0001f48c86--624e241bd4c85d389701837e"""	No	https://www.pureromance.com	Yes	"""0001f48c86--624e241bd4c85d389701837e"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff343c1a2380538690daa	0001f4d961--624ff343c1a2380538690daa	b43c4e574acb4f57e6692cf3f9d3202c	APPROVED	2022-04-08T08:33:07.380
